,Finish_x,Color,noterating,Comments,Taste,url,Nose,Category,,Strength,Bottler,District,Vintage,Label,header,Bottled,Bottle code,Distilleries,Price_x,Barcode,Casktype,Bottling serie,Age,Number of bottles,Bottled for,Casknumber,Distillery,Market,Size,Body,overall rating,Finish_y,Price_y,Initial taste,Weighted Rate,Nose - Aroma,Presentation,number of member votes
10,"Nice, long finish on citrus fruit with a peppery edge.",Pale gold,86,Very nice Balmenach with a green edge.,"Tight and rather alcoholic arrival. The spices pipe up first, followed by citrus. Clearly grapefruit, now. The walnuts return with a slight bitterness. Sweeter than expected.",http://www.whiskybase.com/whisky/42806/balmenach-1988-sv,"A very vegetal nose, this Balmenach! Freshly cut grass, wet branches and nettles. Then a truckload of honey and a touch of vanilla. Walnuts. Spices, but nothing specific. After a while, I get some white fruit. Think apples, mostly, but there is some citrus in there as well.","Single Malt from Speyside, Scotland",,54.4 % Vol.,Signatory Vintage,Speyside,18.10.1988,,Balmenach 1988 SV,03.04.2013,,,65.00$ 86.45 52.00,,Hogshead,Cask Strength Collection,24 years old,238,,2794,Balmenach,,700 ml,0.00,87.67,0.00,0.00,0.00,0.00,0.00,0.00,8
11,Amertume modre . Tourbe et fume persistante. S'teint paisiblement.,Amber,88,"Relax! Rond , fin et subtil.","Assez rond, plutt surprenant pour son ge . Alcool bien intgr . Le profil est assez typ sherry (mais sans exagration boise ) et lgrement tourb. Tout en finesse. La longueur est satisfaisante . Le tout est assez lisse, rond et tout en finesse. Du gingembre , des zestes confits, de la marmelade. La texture est couvrante et huileuse. On y retrouve un peu de sel, galement . Le malt se dveloppe admirablement bien, avec de la noix, du pralin en toile de fond.",http://www.whiskybase.com/whisky/39662/springbank-12-year-old,"Un peu de solvant, fume , bacon, tourbe suave, minral, sve, cendre froide, cuir humide, iod, algues . Du fruits, pas mal de fruits. Bel quilibre. Avec un peu d'ouverture ( un peu d'eau et du temps) le nez devient vraiment splendide mon got . Noix, malt, limite crumble, vanille ptissire . Quelques pices aussi, mais en arrire plan. Gourmand","Single Malt from Campbeltown, Scotland",,53.1 % Vol.,Distillery Bottling,Campbeltown,,,Springbank 12-year-old,2013,13/14 & 13/92,,59.95$ 79.73 47.96,,,Cask Strength - Batch 6,12 years old,,,,Springbank,,700 ml,90.00,87.97,89.00,85.00,90.00,89.00,89.00,89.00,39
12,"Milk chocolate, caramel and blueberry.",Deep gold,88,"Compared to batch 5, this one 'misses' the whiff of sulphur which that one contains. The peat is also a bit more prominent in comparison to the sherry, surfacing in those chocolate notes.","Milk chocolate, caramel, sherry, peat, dried apricot, toffee, mocha, blueberry and raspberry.",http://www.whiskybase.com/whisky/39662/springbank-12-year-old,"Caramel, milk chocolate, sherry, strawberry, apricot, vanilla and gentle peat.","Single Malt from Campbeltown, Scotland",,53.1 % Vol.,Distillery Bottling,Campbeltown,,,Springbank 12-year-old,2013,13/14 & 13/92,,59.95$ 79.73 47.96,,,Cask Strength - Batch 6,12 years old,,,,Springbank,,700 ml,90.00,87.97,89.00,85.00,90.00,89.00,89.00,89.00,39
13,"Durable/prolonged, warming, slightly sulfuric, copper ore?, minerals.With water: saltier, mellower, organics prevails over minerality, slight bitter wood, hazelnut dark chocolate, tannins, bitter cherry, tingling lemon rind, lemon pith - bitter/drying sensation, saltiness.",Auburn,86,"Perhaps not overly complex, this particular batch, still it is a proper sherry monster at the end of the day.Take smaller(!) sips - it can be pretty harsh if taking a mouthful of that neat. Be cautious! And try it with water.","Huge, full-bodied, as full as it gets, really. Oily, bitter oak, aha! - this is where sulphur has been hiding, pungency, acidity, sour oranges, alcohol/spirituous, very pungent indeed, peppery, liquorish, strong, hot, zest(y), rind of orange, orange pith, dry.With water: still remains quite full and oily, turns paler though, loses some oomph/expressiveness, mellows out as well, delicate lacquered oak emerging.",http://www.whiskybase.com/whisky/43906/aberlour-abunadh-batch-46,"Buckwheat honey, cloves, allspice, stout/thick aroma, where dark sour-sweet berries rule the roost. Evidently tinged with bourbon-y note, cola, cherry bonbons, a tad mineral - yes, but nothing similar to a sulphureous odour, sooner a gingery one, sweet sticky caramel, american oak (restrained), lacks light vanillins, unless there are some deep dark ones though. Hints of cocoa powder, baked chocolate pudding, nuts pie/roasted peanuts, stewed cherries, cherry pie?, Cherry Blossom candy, chocolates with marmalade. When neat, hitting your nose fervently, but with a tolerable, reasonable fervency of a sturdy child.This'll take water well, pour a little (not much) water to it. So... hang on, now I'm nosing spicy rye, cherry compote, again those forest berries, rumtopf, more herbs (fern?), herbal potion/tincture, camomile tea?, soft wood (that inner tissue beneath the bark).","Single Malt from Speyside, Scotland",,60.4 % Vol.,Distillery Bottling,Speyside,,,Aberlour A`bunadh batch #46,2013,,,49.68$ 66.07 39.74,3047100225435,Sherry Butts,,,,,,Aberlour,,700 ml,86.25,85.71,87.00,84.00,83.50,85.82,86.25,88.25,54
14,lang und wrmend,Chestnutoloroso sherry,-,,trockenTrockenfrchteSsseWrzemit Wasser tritt der Alkohol in den Hintergrund und die Frucht und die Ssse kommen richtig gut durch.,http://www.whiskybase.com/whisky/43906/aberlour-abunadh-batch-46,Den Schwefel hatte ich auch kurz in der Naseschwere dunkle FrchteWrzeMalz,"Single Malt from Speyside, Scotland",,60.4 % Vol.,Distillery Bottling,Speyside,,,Aberlour A`bunadh batch #46,2013,,,49.68$ 66.07 39.74,3047100225435,Sherry Butts,,,,,,Aberlour,,700 ml,86.25,85.71,87.00,84.00,83.50,85.82,86.25,88.25,54
15,"Herbs, pepper and leather, furniture polish",Burnished,85,"Definately a real mouthfull of nice tastes, but I understand the comment below although I wont call it 'sulphury'","Sweet cognac, oranges, raisins, herbs, pepperand leather in the end",http://www.whiskybase.com/whisky/43906/aberlour-abunadh-batch-46,"Raisins, oranges, cognac, barley Sugar, stewed fruits, some leather","Single Malt from Speyside, Scotland",,60.4 % Vol.,Distillery Bottling,Speyside,,,Aberlour A`bunadh batch #46,2013,,,49.68$ 66.07 39.74,3047100225435,Sherry Butts,,,,,,Aberlour,,700 ml,86.25,85.71,87.00,84.00,83.50,85.82,86.25,88.25,54
16,"Spikey, bitter sweet, rubbery and slightly harsh.",Auburn,78,Another sulphured batch of A'Bunadh. Very disappointing.,"Crunchy, sweet, gravy browning. Slightly winey. Rubbery and harsh.",http://www.whiskybase.com/whisky/43906/aberlour-abunadh-batch-46,"Orange barley sugar, rubbery, with notes of a distant tyre fire.","Single Malt from Speyside, Scotland",,60.4 % Vol.,Distillery Bottling,Speyside,,,Aberlour A`bunadh batch #46,2013,,,49.68$ 66.07 39.74,3047100225435,Sherry Butts,,,,,,Aberlour,,700 ml,86.25,85.71,87.00,84.00,83.50,85.82,86.25,88.25,54
17,The finish is long and almost as sweet as candy. Certainly with water.,Yellow gold,87,"Very nice Bowmore, but oh, so dangerously quaffable. If I ever get to Islay, I would certainly pass by Bowmore to pick up one of these beauties. I do not know the price, but last saw it change hands at an online auction for around 200 EUR.","It is creamy and fruity but very spicy on the palate. Nutmeg, ginger and a hefty helping of pepper. The salt is negligible; this is first and foremost a sweet Bowmore. Caramel precedes orchard and stone fruits. The oak whispers, keeping it wonderfully juicy and sweet. It does not need water, but should you add a few drops, better buckle up for a sugary sweet Bowmore!",http://www.whiskybase.com/whisky/44080/bowmore-craftsmens-collection,"The nose is very sweet, but also rather grainy. One actually smells the mash, which may have prompted the name. I get a lot of fruit in the shape of juicy peaches and toffee apples. That is wonderfully dressed up in sweet peat and citrus. Soft smoke. Caramel and vanilla are present. Then some hazelnuts and the picture is complete. Adding water makes it sweeter still!","Single Malt from Islay, Scotland",,55.7 % Vol.,Distillery Bottling,Islay,03.05.1999,,Bowmore Craftsmen's Collection,2013,,,189.87$ 252.53 151.90,,American Oak Barrels,Mashmen's Selection,14 years old,1500,,,Bowmore,,700 ml,0.00,89.00,0.00,0.00,0.00,0.00,0.00,0.00,12
18,citrus & bright wood spices. (85),Gin clear,85,"Dramfest 2014, single dram note.",nice oily texture. (86),http://www.whiskybase.com/whisky/46650/longmorn-1994-dl,"Spicy, fruity, shellfish. (84)","Single Malt from Speyside, Scotland",,48.4 % Vol.,Douglas Laing,Speyside,12.1994,,Longmorn 1994 DL,09.2013,,,96.91$ 128.89 77.53,,Refill Hogshead,Old Particular,18 years old,322,,DL 10051,Longmorn,,700 ml,0.00,88.00,0.00,0.00,0.00,0.00,0.00,0.00,2
19,"While the finish is rather short, it does put a smile on my face.",White wine,83,"This is a very typical, albeit very sweet, Auchentoshan. Perfect aperitif!","It is quite oily and mildly spicy on the palate. Think soft peppers. But again immediately honeysweet. Citrus returns, but with added mildly bitter white grapefruit. Again some coconut and a hint of bubblegum. Turkish Delight, maybe? Lime sorbet and pretty zesty.",http://www.whiskybase.com/whisky/41977/auchentoshan-1999-ca,"The nose is light and delicate and immediately 100% Auchentoshan. Mild vanilla and some citrus, but mostly coconut and very sweet hard candy like jelly beans. Hints of pineapple and even some mango. Very fresh, very fruity and very typical for my favourite distillery.","Single Malt from Lowlands, Scotland",,46.0 % Vol.,Cadenhead,Lowlands,1999,,Auchentoshan 1999 CA,2013,,,55.50$ 73.81 44.40,,Bourbon Hogshead,Black Label,14 years old,672,,,Auchentoshan,,700 ml,0.00,82.33,0.00,0.00,0.00,0.00,0.00,0.00,3
20,"The finish is long, warm and a tad zesty.",Jonquiripe corn,86,Fine Glenrothes at a nice strength. Can take water with elegance.,"On the palate, it is not only oily, but also spicy. Pepper, ginger, nutmeg. White fruit mostly, but some citrus now emerges. Make that mandarin. The oak takes care of a little bitter bit. Water makes is a lot sweeter, which is not a disadvantage.",http://www.whiskybase.com/whisky/56133/glenrothes-1996-mos,"Oh, I have only just poured it and already the room is filling up with a wonderfully fruity aroma, both European fruit and a mild tropical side. Camphor and some cinnamon. A malty heart too. White chocolate after a few moments. A hint of marzipan. A frangipane pie. Adding water makes it mildly floral. Dried flowers. Soft and accessible.","Single Malt from Speyside, Scotland",,55.5 % Vol.,Malts of Scotland,Speyside,03.1996,,Glenrothes 1996 MoS,06.2014,,,88.90$ 118.24 71.12,,Sherry Hogshead,,,241,,MoS 14028,Glenrothes,,700 ml,0.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,1
21,Orangeagain and in a dry form. Finish is warm and comforting. Medium long.,Burnished,89,Love all these Glenturret '77.,"Sweet citrus and berries. Also honey melon and other fruit such as apples. Very gentle and nice, but less complex as the nose.",http://www.whiskybase.com/whisky/53449/glenturret-1977-sb,Sweet orange syrup withpassion fruit makes it nice and fruity. Age kicks in and theorange peelingwithcaraway seed gives it anold and drierfeeling.,"Single Malt from Highlands, Scotland",,48.7 % Vol.,Sansibar,Central Highlands,1977,,Glenturret 1977 Sb,2014,,,209.00$ 277.97 167.20,,Bourbon Cask,,37 years old,132,,,Glenturret,,700 ml,0.00,89.61,0.00,0.00,0.00,0.00,0.00,0.00,20
22,"Frache, un peu pice.",White wine,81,"Franchement jeunot. Rien de bien gnant mais rien d'intressant non plus, sans grand intrt.","Plutt puissante mais l'alcool reste bien intgr. Malheureusement c'est assez peu savoureux, fruits frais pas trs mrs. Assez paisse, crmeuse. Mirabelles, pommes, poires, raisins secs.",http://www.whiskybase.com/whisky/39702/arran-1996-mos,"Fruits frais (pommes, poires), pointe de menthe, amandes fraches. Finement bois, un peu floral. Alcool un peu trop prsent. Chocolat blanc. Jeune et frais.","Single Malt from Islands, Scotland",,56.3 % Vol.,Malts of Scotland,Arran,1996,,Arran 1996 MoS,2013,,,"80,00$ 106,40 64,00",,Sherry Hogshead,,17 years old,249,,MoS 13002,Arran,,700 ml,0.00,85.40,0.00,0.00,0.00,0.00,0.00,0.00,22
23,Medium long. Some oak.,Pale straw,86,"Not very complex, but an enjoyable dram.",Sweet fruitiness again.Some wet stones (minerals). Nutiness. Herbal notes later on.,http://www.whiskybase.com/whisky/39702/arran-1996-mos,Sweet notes of melon and pear. Breakfast cereals andhints of mint.,"Single Malt from Islands, Scotland",,56.3 % Vol.,Malts of Scotland,Arran,1996,,Arran 1996 MoS,2013,,,"80,00$ 106,40 64,00",,Sherry Hogshead,,17 years old,249,,MoS 13002,Arran,,700 ml,0.00,85.40,0.00,0.00,0.00,0.00,0.00,0.00,22
24,The finish is rather short and my only point of criticism.,White wine,84,It will cost you around 60 EUR.,"It is creamy on fiery on the palate. Nuts and raisins, again, but also some dried apricots. Mint returns. Cloves. Hint of marzipan. Like!",http://www.whiskybase.com/whisky/39702/arran-1996-mos,"It is ultrasoft on the nose, despite the high ABV. Starts gentle on sweet malt and something floral, before evolving into pear syrup, nuts and plum marmalade. Semolina pudding with lots of raisins. Grandma used to make it for me. Well, I digress. Twig of mint. Fresh.","Single Malt from Islands, Scotland",,56.3 % Vol.,Malts of Scotland,Arran,1996,,Arran 1996 MoS,2013,,,"80,00$ 106,40 64,00",,Sherry Hogshead,,17 years old,249,,MoS 13002,Arran,,700 ml,0.00,85.40,0.00,0.00,0.00,0.00,0.00,0.00,22
25,"A really fine mix of the fruit, sweet, bitter, and dark flavors. Truly a classic and unabashed sherry profile, more on the lines of an old glory than a young babe, but it's got youthful spirit.",Mahogany,90,"Extremely graceful, yet bitter and less sweet than a number of its coevals. Excellent.","Initially sweet sherry, almost on a dark and lightly bitter Spanish brandy. Juicy. The darker elements provide excellent balance. Strawberries and thick, drying (still plump) cherries. Then it's all to the browns. More chocolate liqueur laced with ground espresso bitters. A kiss of oak and very dark (99%) cocoa.",http://www.whiskybase.com/whisky/46208/yamazaki-sherry-cask,"Now this is a sherry bomb that really lets itself go. Lots of bitter coffee overlaying prunes, drizzled with little nibs of fig. More espresso. Chocolate liqueur with a maraschino cherry. Decadent and heavily sherried, showing a surprising amount of the heavy and dark elements at what I think is fairly young.",Single Malt from Japan,,48.0 % Vol.,Distillery Bottling,,,,Yamazaki Sherry Cask,2013,,,"120,00$ 159,60 96,00",,Sherry Cask,,,,,,Yamazaki,,700 ml,91.00,89.76,90.00,81.50,90.50,89.45,92.00,86.00,52
26,"Some walnut, some raisin. A very nice, subtle milk chocolate note in the background. I get quite an oaky finish, but it's very balanced and enjoyable.",Burnt umber,87,,"More raisins, pepper. Quite dry and a bit oaky. Here's also some orange zest and again some nice, chocolate.",http://www.whiskybase.com/whisky/46208/yamazaki-sherry-cask,"Ooh, it's a sherry bomb this. LOADS of raisins, cloves, vanilla, clementine and grape jam. There's also a bit of toffee and chocolate Very sweet, and quite balanced.",Single Malt from Japan,,48.0 % Vol.,Distillery Bottling,,,,Yamazaki Sherry Cask,2013,,,"120,00$ 159,60 96,00",,Sherry Cask,,,,,,Yamazaki,,700 ml,91.00,89.76,90.00,81.50,90.50,89.45,92.00,86.00,52
27,Ashy and salty. Lingering sweetness.,Chestnutoloroso sherry,87,,"Oily and mouth coating. Lots of salt, crispy bacon, and peat. Burnt toffee. Some ripe fruit and orange peel. Dried herbs - a bit dusty.",http://www.whiskybase.com/whisky/44422/bowmore-1996-ad,Sweet peat. Smoked cheese. Wood polish. Lightly perfumed. Manuka honey.,"Single Malt from Islay, Scotland",,52.5 % Vol.,Adelphi,Islay,1996,,Bowmore 1996 AD,2013,,,,,Sherry Hogshead,,17 years old,286,,960070,Bowmore,,700 ml,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,4
28,"Short length, shorter and less oak than Passion and Springs, only hints of oak towards the end",Pale gold,80,"I have tasted the trilogy together with this one being the third one. It is the weakest of the three in my opinion but provides still decent value for money.All of them are pretty similar and Glenfarclas is adamant about them being three different whiskies. Well, yes, that is most likely the case, they just happen to be very similar.Passion (83p) > Springs (82p) > Team (80p)","Less intense than Passion ans Springs, same basic characteristics, only less of them",http://www.whiskybase.com/whisky/56464/glenfarclas-team,"Stewed fruits, apples, raisins, all of your basic, (refill) sherry Glenfarclas style really","Single Malt from Speyside, Scotland",,46.0 % Vol.,Distillery Bottling,Speyside,,,Glenfarclas Team,2014,,,31.75$ 42.23 25.40,,Sherry Casks,The Legend of Speyside,,6000,,,Glenfarclas,Germany,700 ml,0.00,82.33,0.00,0.00,0.00,0.00,0.00,0.00,5
29,"Moyenne. Des vagues salines, une amertume boise, et toujours les fruits jaunes aciduls.",White wine,83,"Plaisant, bien que monolithique et trs (un peu trop mme) sal sur la finale.","Dans la continuit du nez. De la pomme Golden, de la poire juteuse, et des notes citronnes. Des relents vanills et aciduls par moments.",http://www.whiskybase.com/whisky/52591/mortlach-2000-cc,"Un mlange fondu de pomme jaune, de poire, de quelques gouttes de citron, et de malt. Un nez frais et fleuri.","Single Malt from Speyside, Scotland",,46.0 % Vol.,Cooper's Choice,Speyside,2000,,Mortlach 2000 CC,2013,,,49.95$ 66.43 39.96,,Hogshead,,13 years old,270,,9049,Mortlach,,700 ml,0.00,83.00,0.00,0.00,0.00,0.00,0.00,0.00,1
30,"Medium long finish. Quite some oaky bitterness, but very enjoyable. Lots of spicy oak though. A hint of peat lingers on.",Russetmuscat,88,"This is pretty decent stuff. Really well balanced and very mature, yet not too demanding and complex. An easy to drink 25yo Single Malt. Great!","Very smooth and gentle start. A creamy sweetness combinded with a little pepper. Then again smoked, honey glazed ham. Rich oak. Light fruitiness now. Could take some more alcohol in my opinion.",http://www.whiskybase.com/whisky/52671/blair-athol-1988-vw,"Overwhelming nose from the beginning. Ripe, squishy grapes and strawberries. Black currant. Rich and strong spiciness. Heavy oak and quite some herbs. Underlined by a hint of peat and sulfer. Surprisingly salty. I have to think of corned beef. Very mature nose. Very well balanced. Quite promising.","Single Malt from Highlands, Scotland",,46.0 % Vol.,van Wees,Central Highlands,21.10.1988,,Blair Athol 1988 vW,10.02.2014,,,"79,99$ 106,39 63,99",5021944087112,Refill Sherry Butt,The Ultimate,25 years old,712,,6918,Blair Athol,,700 ml,86.67,88.00,86.83,91.00,87.17,87.47,87.50,87.33,41
31,Assez longue qui colle au palais.,Auburn,88,"Pas trs complexe, mais massif et puissant. Un trs bon daily dram sherry.","La dilution nest pas perceptible, cest mme assez puissant en attaque. Des fruits jaunes trs cuits et compots et de la fume en arrire-plan.",http://www.whiskybase.com/whisky/52671/blair-athol-1988-vw,"Des fruits cuits, du tabac, un soupon de soufre (non drangeant), de la viande fume et sale.","Single Malt from Highlands, Scotland",,46.0 % Vol.,van Wees,Central Highlands,21.10.1988,,Blair Athol 1988 vW,10.02.2014,,,"79,99$ 106,39 63,99",5021944087112,Refill Sherry Butt,The Ultimate,25 years old,712,,6918,Blair Athol,,700 ml,86.67,88.00,86.83,91.00,87.17,87.47,87.50,87.33,41
